Obesity,,,,ab_c
"PC(O-18:1(9Z)/18:2(9Z,12Z))",HMDB0013429,CCCCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,6.61 +/- 1.86uM,6.61
PC(O-18:1(9Z)/20:1(11Z)),HMDB0013431,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.55 +/- 0.48uM,6.61
"PC(O-18:2(9Z,12Z)/20:0)",HMDB0013436,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.55 +/- 0.48uM,1.55
L-Carnitine,HMDB0000062,C[N+](C)(C)C[C@H](O)CC([O-])=O,11183.81 +/- 6864.25uM,1.55
Octanoylcarnitine,HMDB0000791,CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,69.63 +/- 2.32uM,11183.81
Propionylcarnitine,HMDB0000824,CCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,142.23 +/- 13.71uM,69.63
Butyrylcarnitine,HMDB0002013,CCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,565.44 +/- 32.46uM,142.23
PC(14:0/20:1(11Z)),HMDB0007879,CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,2.86 +/- 0.18uM,565.44
"PC(14:0/20:2(11Z,14Z))",HMDB0007880,CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC,2.57 +/- 0.24uM,2.86
"PC(14:0/20:4(5Z,8Z,11Z,14Z))",HMDB0007883,CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,0.34 +/- 0.02uM,2.57
"PC(14:0/20:4(8Z,11Z,14Z,17Z))",HMDB0007884,CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.34 +/- 0.02uM,0.34
PC(14:0/22:1(13Z)),HMDB0007887,CCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC\C=C/CCCCCCCC,1.75 +/- 0.10uM,0.34
PC(14:0/24:0),HMDB0007893,[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCCCC,1.04 +/- 0.06uM,1.75
PC(14:1(9Z)/14:0),HMDB0007899,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.89 +/- 0.08uM,1.04
PC(14:1(9Z)/16:1(9Z)),HMDB0007903,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.07 +/- 0.01uM,1.89
PC(14:1(9Z)/20:0),HMDB0007911,CCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,0.07
PC(14:1(9Z)/20:1(11Z)),HMDB0007912,CCCCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,2.86
"PC(14:1(9Z)/20:3(5Z,8Z,11Z))",HMDB0007914,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.34 +/- 0.02uM,2.57
"PC(14:1(9Z)/20:3(8Z,11Z,14Z))",HMDB0007915,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.34 +/- 0.02uM,0.34
PC(14:1(9Z)/22:0),HMDB0007919,CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,0.34
PC(16:0/18:1(11Z)),HMDB0007971,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,2.86 +/- 0.18uM,1.75
PC(16:0/18:1(9Z)),HMDB0007972,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,2.86 +/- 0.18uM,2.86
"PC(16:0/18:2(9Z,12Z))",HMDB0007973,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,2.57 +/- 0.24uM,2.86
"PC(16:0/18:4(6Z,9Z,12Z,15Z))",HMDB0007976,CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.34 +/- 0.02uM,2.57
PC(16:0/20:1(11Z)),HMDB0007978,CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCCCC,1.75 +/- 0.10uM,0.34
PC(16:0/22:0),HMDB0007985,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCCCC,1.04 +/- 0.06uM,1.75
"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007991,CCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,1.04
PC(16:0/P-18:1(11Z)),HMDB0007996,CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,2.86 +/- 0.18uM,0.78
PC(16:0/P-18:1(9Z)),HMDB0007997,CCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,2.86 +/- 0.18uM,2.86
PC(16:1(9Z)/14:1(9Z)),HMDB0007999,CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.07 +/- 0.01uM,2.86
PC(16:1(9Z)/18:0),HMDB0008003,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,0.07
PC(16:1(9Z)/18:1(11Z)),HMDB0008004,CCCCCC\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,2.86
PC(16:1(9Z)/18:1(9Z)),HMDB0008005,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,2.57
"PC(16:1(9Z)/18:3(6Z,9Z,12Z))",HMDB0008007,CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.34 +/- 0.02uM,2.57
"PC(16:1(9Z)/18:3(9Z,12Z,15Z))",HMDB0008008,CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.34 +/- 0.02uM,0.34
PC(16:1(9Z)/20:0),HMDB0008010,[H][C@@](COC(=O)CCCCCCC\C=C/CCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,1.75 +/- 0.10uM,0.34
"PC(16:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008022,CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,0.78 +/- 0.08uM,1.75
"PC(16:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008024,CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,0.78
PC(16:1(9Z)/P-18:0),HMDB0008028,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,0.78
PC(16:1(9Z)/P-18:1(11Z)),HMDB0008029,CCCCCC\C=C/CCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,2.86
PC(16:1(9Z)/P-18:1(9Z)),HMDB0008030,CCCCCCCC\C=C/CCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,2.57
PC(18:0/16:1(9Z)),HMDB0008035,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,2.86 +/- 0.18uM,2.57
PC(18:0/18:1(11Z)),HMDB0008037,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCC\C=C/CCCCCC,1.75 +/- 0.10uM,2.86
PC(18:0/18:1(9Z)),HMDB0008038,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCCCC,1.75 +/- 0.10uM,1.75
PC(18:0/20:0),HMDB0008043,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC,1.04 +/- 0.06uM,1.75
"PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0008057,CCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,6.83 +/- 0.41uM,1.04
PC(18:0/P-18:1(11Z)),HMDB0008062,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCC\C=C/CCCCCC,1.75 +/- 0.10uM,6.83
PC(18:0/P-18:1(9Z)),HMDB0008063,CCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCC\C=C/CCCCCCCC,1.75 +/- 0.10uM,1.75
PC(18:1(11Z)/16:0),HMDB0008067,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,1.75
PC(18:1(11Z)/16:1(9Z)),HMDB0008068,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,2.57 +/- 0.24uM,2.86
PC(18:1(11Z)/18:0),HMDB0008069,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,2.57
"PC(18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008083,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,1.75
"PC(18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008088,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,6.83 +/- 0.41uM,0.78
"PC(18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008089,CCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,6.83 +/- 0.41uM,6.83
PC(18:1(11Z)/P-16:0),HMDB0008093,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,6.83
PC(18:1(11Z)/P-18:0),HMDB0008094,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,2.86
PC(18:1(9Z)/16:0),HMDB0008100,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,1.75
PC(18:1(9Z)/16:1(9Z)),HMDB0008101,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,2.57 +/- 0.24uM,2.86
PC(18:1(9Z)/18:0),HMDB0008102,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,2.57
"PC(18:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008116,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,1.75
"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0008121,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC,6.83 +/- 0.41uM,0.78
"PC(18:1(9Z)/22:5(7Z,10Z,13Z,16Z,19Z))",HMDB0008122,CCCCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,6.83 +/- 0.41uM,6.83
PC(18:1(9Z)/P-16:0),HMDB0008126,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,6.83
PC(18:1(9Z)/P-18:0),HMDB0008127,CCCCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,2.86
"PC(18:2(9Z,12Z)/16:0)",HMDB0008133,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,1.75
"PC(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008147,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,0.78 +/- 0.08uM,2.57
"PC(18:2(9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008148,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,0.78
"PC(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",HMDB0008153,CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,6.83 +/- 0.41uM,0.78
"PC(18:2(9Z,12Z)/P-16:0)",HMDB0008159,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,6.83
"PC(18:3(6Z,9Z,12Z)/16:1(9Z))",HMDB0008167,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.34 +/- 0.02uM,2.57
"PC(18:3(6Z,9Z,12Z)/20:3(5Z,8Z,11Z))",HMDB0008178,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.78 +/- 0.08uM,0.34
"PC(18:3(6Z,9Z,12Z)/20:3(8Z,11Z,14Z))",HMDB0008179,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,0.78 +/- 0.08uM,0.78
"PC(18:3(9Z,12Z,15Z)/16:1(9Z))",HMDB0008200,CCCCCC\C=C/CCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.34 +/- 0.02uM,0.78
"PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))",HMDB0008211,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.78 +/- 0.08uM,0.34
"PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))",HMDB0008212,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.78 +/- 0.08uM,0.78
"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",HMDB0008232,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.34 +/- 0.02uM,0.78
"PC(18:4(6Z,9Z,12Z,15Z)/20:2(11Z,14Z))",HMDB0008243,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.78 +/- 0.08uM,0.34
"PC(18:4(6Z,9Z,12Z,15Z)/22:2(13Z,16Z))",HMDB0008251,CCCCC\C=C/C\C=C/CCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,6.83 +/- 0.41uM,0.78
"PC(18:4(6Z,9Z,12Z,15Z)/P-16:0)",HMDB0008258,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C,0.34 +/- 0.02uM,6.83
PC(20:0/14:1(9Z)),HMDB0008263,CCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,2.86 +/- 0.18uM,0.34
PC(20:0/16:1(9Z)),HMDB0008266,CCCCCCCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCCCC,1.75 +/- 0.10uM,2.86
PC(20:0/18:0),HMDB0008267,[H][C@@](COC(=O)CCCCCCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,1.04 +/- 0.06uM,1.75
PC(20:0/P-18:0),HMDB0008292,CCCCCCCCCCCCCCCCCCCC(=O)OCC(COP([O-])(=O)OCC[N+](C)(C)C)O\C=C/CCCCCCCCCCCCCCCC,1.04 +/- 0.06uM,1.04
PC(20:1(11Z)/14:0),HMDB0008295,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.86 +/- 0.18uM,1.04
PC(20:1(11Z)/14:1(9Z)),HMDB0008296,CCCCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,2.57 +/- 0.24uM,2.86
PC(20:1(11Z)/16:0),HMDB0008298,CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,2.57
"PC(20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",HMDB0008314,CCCCCCCC\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC,6.83 +/- 0.41uM,1.75
PC(20:1(11Z)/P-16:0),HMDB0008324,CCCCCCCCCCCCCC\C=C/OC(COC(=O)CCCCCCCCC\C=C/CCCCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,1.75 +/- 0.10uM,6.83
"PC(20:2(11Z,14Z)/14:0)",HMDB0008328,CCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCCCCCCC\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,2.57 +/- 0.24uM,1.75
"PC(20:2(11Z,14Z)/18:4(6Z,9Z,12Z,15Z))",HMDB0008339,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,2.57
"PC(20:2(11Z,14Z)/20:4(5Z,8Z,11Z,14Z))",HMDB0008345,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC,6.83 +/- 0.41uM,0.78
"PC(20:2(11Z,14Z)/20:4(8Z,11Z,14Z,17Z))",HMDB0008346,CCCCC\C=C/C\C=C/CCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC,6.83 +/- 0.41uM,6.83
"PC(20:3(5Z,8Z,11Z)/14:1(9Z))",HMDB0008362,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.34 +/- 0.02uM,6.83
"PC(20:3(5Z,8Z,11Z)/18:3(6Z,9Z,12Z))",HMDB0008370,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.78 +/- 0.08uM,0.34
"PC(20:3(5Z,8Z,11Z)/18:3(9Z,12Z,15Z))",HMDB0008371,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,0.78
"PC(20:3(5Z,8Z,11Z)/20:3(5Z,8Z,11Z))",HMDB0008376,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/CCCCCCCC,6.83 +/- 0.41uM,0.78
"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",HMDB0008377,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,6.83 +/- 0.41uM,6.83
"PC(20:3(8Z,11Z,14Z)/14:1(9Z))",HMDB0008395,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/CCCC,0.34 +/- 0.02uM,6.83
"PC(20:3(8Z,11Z,14Z)/18:3(6Z,9Z,12Z))",HMDB0008403,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCC\C=C/C\C=C/C\C=C/CCCCC,0.78 +/- 0.08uM,0.34
"PC(20:3(8Z,11Z,14Z)/18:3(9Z,12Z,15Z))",HMDB0008404,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC,0.78 +/- 0.08uM,0.78
"PC(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",HMDB0008408,CCCCCCCC\C=C/C\C=C/C\C=C/CCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC)COP([O-])(=O)OCC[N+](C)(C)C,6.83 +/- 0.41uM,0.78
"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",HMDB0008409,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/CCCCC,6.83 +/- 0.41uM,6.83
