Obesity,,,,ab_c
"PC(O-16:0/18:2(9Z,12Z))",HMDB0011151,CCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.6 +/- 3.0uM,10
9-Hexadecenoylcarnitine,HMDB0013207,CCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.04 +/- 0.01uM,10.6
9-Hexadecenoylcarnitine,HMDB0013207,CCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.04 +/- 0.01uM,0.04
9-Hexadecenoylcarnitine,HMDB0013207,CCCCCC\C=C/CCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C,0.04 +/- 0.01uM,0.04
trans-2-Dodecenoylcarnitine,HMDB0013326,CCCCCCCCC\C=C\C(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C,0.16 +/- 0.05uM,0.04
trans-2-Dodecenoylcarnitine,HMDB0013326,CCCCCCCCC\C=C\C(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C,0.16 +/- 0.06uM,0.16
trans-2-Dodecenoylcarnitine,HMDB0013326,CCCCCCCCC\C=C\C(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C,0.16 +/- 0.06uM,0.16
trans-2-Dodecenoylcarnitine,HMDB0013326,CCCCCCCCC\C=C\C(=O)O[C@@H](CCC([O-])=O)[N+](C)(C)C,0.16 +/- 0.07uM,0.16
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.4 +/- 1.9uM,0.16
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.6 +/- 2.5uM,8.4
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.2 +/- 2.2uM,8.6
PC(O-16:1(9Z)/18:0),HMDB0013412,CCCCCCCCCCCCCCCCCC(=O)O[C@]([H])(COCCCCCCCC\C=C/CCCCCC)COP([O-])(=O)OCC[N+](C)(C)C,8.4 +/- 2.4uM,8.2
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,7.5 +/- 2.4uM,8.4
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,7.3 +/- 3.5uM,7.5
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,7.1 +/- 2.2uM,7.3
"PC(O-16:1(9Z)/18:2(9Z,12Z))",HMDB0013413,CCCCCC\C=C/CCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,7.2 +/- 2.2uM,7.1
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.9 +/- 3.0uM,7.2
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.8 +/- 2.8uM,10.9
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.0 +/- 2.8uM,10.8
"PC(O-18:0/18:2(9Z,12Z))",HMDB0013418,CCCCCCCCCCCCCCCCCCOC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC,10.9 +/- 2.2uM,10
