mid,nc.unadj,nc
HMDB0000661,0.8 (0.0-1.8),0.80000 
HMDB0000662,4.74 +/- 1.75,4.74000 
HMDB0000663,8.4 (5.8-12.3),8.40000 
HMDB0000667,0.29 +/- 0.084,0.29000 
HMDB0000669,0.287 +/- 0.033,0.28700 
HMDB0000670,2.00 +/- 0.60,2.00000 
HMDB0000671,2.8 (0.5-5.0),2.80000 
HMDB0000673,23.39 +/- 2.75,23.39000 
HMDB0000674,0.186 +/- 0.037,0.18600 
HMDB0000675,0.41 (0.25-0.57),0.41000 
HMDB0000676,<2,2.00000 
HMDB0000678,0.17 +/- 0.03,0.17000 
HMDB0000679,5.0 (0.0-12.0),5.00000 
HMDB0000682,14.0 +/- 4.2,14.00000 
HMDB0000684,1.6 +/- 0.1,1.60000 
HMDB0000687,70.0 +/- 25.0,70.00000 
HMDB0000688,<0.400,0.40000 
HMDB0000691,15.0+/- 0.58,15.00000 
HMDB0000692,9766 +/- 1246,9766.00000 
HMDB0000693,0.5 (0.0-1.0),0.50000 
HMDB0000694,1.5 (0.0-1.5),1.50000 
HMDB0000695,28.0 (0.0-58.0),28.00000 
HMDB0000696,25.0 (21.0-29.0),25.00000 
HMDB0000698,620 (590-650),620.00000 
HMDB0000699,0.430 (0.007-0.850),0.43000 
HMDB0000700,7.00 ,7.00000 
HMDB0000703,0.565 (0.164-3.608),0.56500 
HMDB0000706,0.018 +/- 0.004,0.01800 
HMDB0000707,0.37 +/- 0.23,0.37000 
HMDB0000708,0.1(0-0.4),0.10000 
HMDB0000709,13.6 +/- 3.6,13.60000 
HMDB0000710,1.200 +/- 1.2(0-3.2),1.20000 
HMDB0000714,3.0 (0.0-5.0),3.00000 
HMDB0000715,0.023 +/- 0.010,0.02300 
HMDB0000716,10.0 (0.0-20.0),10.00000 
HMDB0000718,1.6 (0.3-2.7),1.60000 
HMDB0000719,12.0 (11.3-17.0),12.00000 
HMDB0000722,370.0 (350.0-380.0),370.00000 
HMDB0000729,8.2,8.20000 
HMDB0000731,3.2  +/- 0.1,3.20000 
HMDB0000732,0.05 (0.00-0.10),0.05000 
HMDB0000736,0.069 (0.015-0.203),0.06900 
HMDB0000739,0.00029 +/- 0.00022,0.00029 
HMDB0000740,0.12 (0.12-0.13),0.12000 
HMDB0000742,9.4 (7.3-16.2),9.40000 
HMDB0000745,2.70 +/- 2.50,2.70000 
HMDB0000746,<0.7,0.70000 
HMDB0000750,10.527,10.52700 
HMDB0000751,9.0 +/- 12.0,9.00000 
HMDB0000754,4.0 (0.0 - 10.0),4.00000 
HMDB0000755,0.64 +/- 0.24,0.64000 
HMDB0000756,0.080 +/- 0.006,0.08000 
HMDB0000757,39.1 +/-  3.1,39.10000 
HMDB0000761,930 (890-960),930.00000 
HMDB0000763,0.0516 +/- 0.0068,0.05160 
HMDB0000764,0.553 +/- 0.109,0.55300 
HMDB0000765,<7.143,7.14300 
HMDB0000767,1.29 +/- 1.07,1.29000 
HMDB0000774,0.13 +/- 0.06,0.13000 
HMDB0000784,27.0 (0.0-58.0),27.00000 
HMDB0000786,50.0 (0.5-100.0),50.00000 
HMDB0000788,4.167 +/- 5.556,4.16700 
HMDB0000791,0.23 +/- 0.08,0.23000 
HMDB0000792,0.091(0.072-0.11),0.09100 
HMDB0000795,<3.000,3.00000 
HMDB0000797,0,0.00000 
HMDB0000801,4.8 (0.0-9.6),4.80000 
HMDB0000806,25.0 (8.0-70.0),25.00000 
HMDB0000807,58.2 +/- 14.4,58.20000 
HMDB0000812,0.81 +/- 0.38,0.81000 
HMDB0000819,0.00035 +/- 0.00016,0.00035 
