mid,mname,keggid,nc
HMDB0008102,,,19.8
HMDB0008103,,,267.03
HMDB0008105,,,165.5
HMDB0008106,,,228.74
HMDB0008107,,,228.74
HMDB0008108,,,46.61
HMDB0008109,,,1.23
HMDB0008111,,,62.34
HMDB0008112,,,147.79
HMDB0008113,,,147.79
HMDB0008114,,,81.9
HMDB0008115,,,81.9
HMDB0008116,,,103.41
HMDB0008117,,,0.44
HMDB0008118,,,0.36
HMDB0008119,"PC(18:1(9Z)/22:2(13Z,16Z))",C00157,0.47
HMDB0008120,"PC(18:1(9Z)/22:4(7Z,10Z,13Z,16Z))",C00157,13.85
HMDB0008121,"PC(18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C00157,27.8
HMDB0008122,,,27.8
HMDB0008124,,,0.32
HMDB0008125,,,0.25
HMDB0008126,PC(18:1(9Z)/P-16:0),C00157,242.2
HMDB0008127,,,60.62
HMDB0008128,,,267.03
HMDB0008129,PC(18:1(9Z)/P-18:1(9Z)),C00157,267.03
HMDB0008130,,,4.02
HMDB0008131,,,0.49
HMDB0008133,,,409.32
HMDB0008134,,,25.87
HMDB0008135,,,267.03
HMDB0008136,,,165.5
HMDB0008137,,,165.5
HMDB0008138,,,228.74
HMDB0008139,,,81.9
HMDB0008140,,,46.61
HMDB0008141,,,46.61
HMDB0008142,,,1.16
HMDB0008144,,,47.3
HMDB0008145,,,147.79
HMDB0008146,,,81.9
HMDB0008147,,,103.41
HMDB0008148,,,103.41
HMDB0008150,,,0.36
HMDB0008151,,,0.47
HMDB0008152,,,4.16
HMDB0008153,,,27.8
HMDB0008157,,,0.25
HMDB0008159,,,413.3
HMDB0008160,,,267.03
HMDB0008161,,,165.5
HMDB0008162,,,165.5
HMDB0008163,,,0.49
HMDB0008166,,,15.9
HMDB0008167,,,1.87
HMDB0008168,,,165.5
HMDB0008169,,,228.74
HMDB0008170,,,228.74
HMDB0008171,,,46.61
HMDB0008172,,,1.16
HMDB0008173,,,1.16
HMDB0008175,,,47.3
HMDB0008176,,,101.6
HMDB0008177,,,54.2
HMDB0008178,,,103.41
HMDB0008179,,,103.41
HMDB0008183,"PC(18:3(6Z,9Z,12Z)/22:0)",C00157,0.47
HMDB0008184,,,4.16
HMDB0008185,,,13.85
HMDB0008191,"PC(18:3(6Z,9Z,12Z)/24:1(15Z))",C00157,0.18
HMDB0008192,"PC(18:3(6Z,9Z,12Z)/P-16:0)",C00157,15.9
HMDB0008193,,,165.5
HMDB0008194,,,228.74
HMDB0008195,,,228.74
HMDB0008196,,,0.49
HMDB0008199,,,15.9
HMDB0008200,,,1.87
HMDB0008201,,,165.5
HMDB0008202,,,228.74
HMDB0008203,,,228.74
HMDB0008204,,,46.61
HMDB0008205,,,1.16
HMDB0008206,,,1.16
HMDB0008208,,,47.3
HMDB0008209,,,101.6
HMDB0008210,,,54.2
HMDB0008211,,,88
HMDB0008212,,,88
HMDB0008216,,,0.47
HMDB0008217,,,2.59
HMDB0008218,,,13.85
HMDB0008224,,,0.18
HMDB0008225,,,15.9
HMDB0008226,,,63.7
HMDB0008227,,,135
HMDB0008228,,,135
HMDB0008232,"PC(18:4(6Z,9Z,12Z,15Z)/16:0)",C00157,1.87
HMDB0008234,,,135
HMDB0008235,,,5.2
HMDB0008236,,,5.2
HMDB0008237,,,1.16
HMDB0008241,,,101.6
HMDB0008242,,,54.2
HMDB0008243,,,88
HMDB0008249,,,2.59
HMDB0008250,,,13.85
HMDB0008251,,,27.8
HMDB0008256,,,0.18
HMDB0008257,,,1.1
HMDB0008258,,,1.87
HMDB0008259,,,135
HMDB0008260,,,5.2
HMDB0008261,,,5.2
HMDB0008263,,,242.2
HMDB0008265,,,2.52
HMDB0008266,,,57.1
HMDB0008267,,,3.48
HMDB0008268,,,1.23
HMDB0008269,,,1.23
HMDB0008271,"PC(20:0/18:3(6Z,9Z,12Z))",C00157,47.3
HMDB0008272,,,47.3
HMDB0008273,,,101.6
HMDB0008275,,,0.45
HMDB0008276,,,0.36
HMDB0008277,,,0.47
HMDB0008278,,,0.47
HMDB0008279,,,2.59
HMDB0008280,,,3
HMDB0008281,,,13.85
HMDB0008282,,,0.55
HMDB0008283,,,0.27
HMDB0008284,,,0.2
HMDB0008285,,,0.2
HMDB0008286,,,0.45
HMDB0008287,,,0.45
HMDB0008288,,,0.79
HMDB0008291,,,3.14
HMDB0008292,,,2.21
HMDB0008293,,,1.23
HMDB0008294,,,1.23
HMDB0008295,,,173
HMDB0008296,,,409.32
HMDB0008298,,,40.8
HMDB0008299,,,212
HMDB0008300,,,1.23
HMDB0008303,,,32.8
HMDB0008304,"PC(20:1(11Z)/18:3(6Z,9Z,12Z))",C00157,76.6
HMDB0008305,,,76.6
HMDB0008306,"PC(20:1(11Z)/18:4(6Z,9Z,12Z,15Z))",C00157,36.2
HMDB0008307,,,0.39
HMDB0008308,PC(20:1(11Z)/20:1(11Z)),C00157,0.29
HMDB0008309,"PC(20:1(11Z)/20:2(11Z,14Z))",C00157,0.49
HMDB0008310,,,3
HMDB0008311,,,3
HMDB0008312,"PC(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",C00157,13.85
HMDB0008313,,,13.85
HMDB0008314,,,27.8
HMDB0008315,,,0.27
HMDB0008316,,,0.2
HMDB0008318,,,0.39
HMDB0008319,,,0.61
HMDB0008320,,,0.61
HMDB0008324,,,40.8
HMDB0008325,,,1.23
HMDB0008328,,,315
HMDB0008329,,,11
HMDB0008331,,,212
HMDB0008332,,,106
HMDB0008334,,,32.8
HMDB0008335,,,32.8
HMDB0008336,,,76.6
HMDB0008337,,,36.2
HMDB0008338,,,36.2
HMDB0008339,,,49.1
HMDB0008340,,,0.29
HMDB0008341,,,0.49
HMDB0008342,,,3
HMDB0008343,,,13.85
HMDB0008344,,,13.85
HMDB0008345,,,27.8
HMDB0008346,,,27.8
HMDB0008348,,,0.2
HMDB0008350,,,0.2
HMDB0008351,,,0.61
HMDB0008357,,,44.5
HMDB0008359,,,36.1
HMDB0008360,,,36.1
HMDB0008361,,,2.8
HMDB0008362,,,0.52
HMDB0008364,,,63.7
HMDB0008365,,,135
HMDB0008366,,,36.1
HMDB0008367,,,90.4
HMDB0008368,,,90.4
HMDB0008369,,,21.8
HMDB0008370,,,60.6
HMDB0008371,,,60.6
HMDB0008373,,,0.54
HMDB0008374,,,2.59
HMDB0008375,"PC(20:3(5Z,8Z,11Z)/20:2(11Z,14Z))",C00157,13.85
HMDB0008376,,,27.8
HMDB0008377,"PC(20:3(5Z,8Z,11Z)/20:3(8Z,11Z,14Z))",C00157,27.8
HMDB0008382,,,0.24
HMDB0008383,,,0.3
HMDB0008390,,,63.7
HMDB0008391,,,36.1
HMDB0008392,,,90.4
HMDB0008393,,,90.4
HMDB0008394,,,2.8
HMDB0008395,,,0.52
HMDB0008397,,,63.7
HMDB0008398,,,135
HMDB0008399,,,36.1
HMDB0008400,,,90.4
HMDB0008401,,,90.4
HMDB0008402,,,21.8
HMDB0008403,,,60.6
HMDB0008404,,,60.6
HMDB0008406,,,0.54
HMDB0008407,,,13.85
HMDB0008408,,,27.8
HMDB0008409,"PC(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",C00157,27.8
HMDB0008414,"PC(20:3(8Z,11Z,14Z)/22:1(13Z))",C00157,0.24
HMDB0008415,,,0.3
HMDB0008422,,,63.7
HMDB0008423,,,36.1
HMDB0008424,,,90.4
HMDB0008425,,,90.4
HMDB0008426,"PC(20:4(5Z,8Z,11Z,14Z)/14:0)",C00157,0.52
HMDB0008429,"PC(20:4(5Z,8Z,11Z,14Z)/16:0)",C00157,135
HMDB0008430,,,5.2
HMDB0008431,"PC(20:4(5Z,8Z,11Z,14Z)/18:0)",C00157,90.4
HMDB0008432,,,21.8
HMDB0008433,,,21.8
HMDB0008434,,,60.6
HMDB0008438,,,2.59
HMDB0008439,,,13.85
HMDB0008440,,,27.8
HMDB0008446,,,0.24
HMDB0008447,,,0.3
HMDB0008448,,,0.44
HMDB0008455,,,135
HMDB0008456,,,90.4
HMDB0008457,,,21.8
HMDB0008458,,,21.8
HMDB0008459,,,0.52
HMDB0008462,,,135
HMDB0008463,,,5.2
HMDB0008464,,,90.4
HMDB0008465,,,21.8
HMDB0008466,,,21.8
HMDB0008467,,,60.6
HMDB0008471,,,2.59
HMDB0008472,,,13.85
HMDB0008473,,,27.8
HMDB0008479,,,0.24
HMDB0008480,,,0.3
HMDB0008481,,,0.44
HMDB0008488,,,135
HMDB0008489,,,90.4
HMDB0008490,,,21.8
HMDB0008491,,,21.8
HMDB0008495,,,5.2
HMDB0008496,,,1.16
HMDB0008497,,,81.9
HMDB0008498,,,103.41
HMDB0008499,,,103.41
HMDB0008504,,,13.85
HMDB0008505,,,36.08
HMDB0008512,,,0.45
HMDB0008513,,,0.79
HMDB0008521,,,46.61
HMDB0008522,,,81.9
HMDB0008523,,,103.41
HMDB0008524,,,103.41
HMDB0008525,,,3.14
HMDB0008526,,,60.62
HMDB0008528,,,3.48
HMDB0008529,,,1.23
HMDB0008531,,,0.44
HMDB0008532,,,0.44
HMDB0008533,,,0.25
HMDB0008534,,,0.54
HMDB0008535,,,0.54
HMDB0008536,,,4.16
HMDB0008537,PC(22:0/20:0),C00157,0.65
HMDB0008538,,,0.32
HMDB0008539,,,0.25
HMDB0008542,"PC(22:0/20:4(5Z,8Z,11Z,14Z))",C00157,0.18
HMDB0008543,,,0.18
HMDB0008544,,,0.45
HMDB0008554,,,3.48
HMDB0008556,,,0.44
HMDB0008557,,,0.44
HMDB0008558,,,60.62
HMDB0008559,,,267.03
HMDB0008561,,,1.23
HMDB0008563,,,0.44
HMDB0008564,,,0.36
HMDB0008565,,,0.47
HMDB0008566,,,4.16
HMDB0008567,,,4.16
HMDB0008568,,,13.85
HMDB0008569,,,0.32
HMDB0008570,,,0.25
HMDB0008572,,,0.18
HMDB0008573,,,0.18
HMDB0008574,,,0.45
HMDB0008575,,,0.45
HMDB0008576,,,0.79
HMDB0008586,,,1.23
HMDB0008587,,,0.44
HMDB0008588,,,0.36
HMDB0008589,,,0.36
HMDB0008590,,,267.03
HMDB0008591,,,165.5
HMDB0008594,,,47.3
HMDB0008595,,,0.36
HMDB0008596,,,0.47
HMDB0008597,,,0.47
HMDB0008598,,,4.16
HMDB0008599,,,13.85
HMDB0008600,,,13.85
HMDB0008601,,,27.8
HMDB0008602,,,0.25
HMDB0008604,,,0.18
HMDB0008605,,,0.45
HMDB0008606,,,0.45
HMDB0008607,,,0.79
HMDB0008608,,,0.79
HMDB0008620,,,0.36
HMDB0008621,,,0.47
HMDB0008622,,,0.47
HMDB0008623,,,228.74
HMDB0008624,,,46.61
HMDB0008626,,,147.79
HMDB0008627,,,81.9
HMDB0008628,,,4.16
HMDB0008629,,,13.85
HMDB0008630,,,13.85
HMDB0008631,,,27.8
HMDB0008635,,,0.18
HMDB0008636,,,0.32
HMDB0008637,,,0.79
HMDB0008652,,,101.6
HMDB0008653,,,4.16
HMDB0008654,,,13.85
HMDB0008655,"PC(22:4(7Z,10Z,13Z,16Z)/P-18:1(9Z))",C00157,13.85
HMDB0008656,,,46.61
HMDB0008657,,,1.16
HMDB0008659,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:0)",C00157,81.9
HMDB0008660,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/16:1(9Z))",C00157,103.41
HMDB0008661,,,13.85
HMDB0008662,,,27.8
HMDB0008663,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/18:1(9Z))",C00157,27.8
HMDB0008668,,,0.32
HMDB0008669,,,0.78
HMDB0008685,,,54.2
HMDB0008686,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:0)",C00157,13.85
HMDB0008687,,,27.8
HMDB0008688,"PC(22:5(4Z,7Z,10Z,13Z,16Z)/P-18:1(9Z))",C00157,27.8
HMDB0008689,,,46.61
HMDB0008690,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/14:1(9Z))",C00157,1.16
HMDB0008692,"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0)",C00157,54.2
HMDB0008693,,,103.41
HMDB0008694,,,13.85
HMDB0008695,,,27.8
HMDB0008696,,,27.8
HMDB0008701,,,0.32
HMDB0008702,,,0.78
HMDB0008718,,,54.2
HMDB0008719,,,13.85
HMDB0008720,,,27.8
HMDB0008721,,,27.8
HMDB0008722,,,1.16
HMDB0008725,,,88
HMDB0008727,,,27.8
HMDB0008734,,,0.78
HMDB0008751,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-16:0)",C00157,88
HMDB0008752,"PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",C00157,27.8
HMDB0008755,,,3.48
HMDB0008756,,,1.23
HMDB0008759,,,0.45
HMDB0008760,,,0.65
HMDB0008761,PC(24:0/18:1(11Z)),C00157,0.32
HMDB0008762,PC(24:0/18:1(9Z)),C00157,0.32
HMDB0008763,,,0.25
HMDB0008766,"PC(24:0/18:4(6Z,9Z,12Z,15Z))",C00157,0.18
HMDB0008785,,,0.65
HMDB0008786,,,0.32
HMDB0008787,,,0.32
HMDB0008788,,,1.23
HMDB0008791,,,0.45
HMDB0008792,,,0.36
HMDB0008793,,,0.32
HMDB0008794,,,0.25
HMDB0008795,,,0.25
HMDB0008797,,,0.18
HMDB0008798,,,0.32
HMDB0008799,,,0.32
HMDB0008817,,,0.45
HMDB0008818,,,0.32
HMDB0008819,,,0.25
HMDB0008820,,,0.25
HMDB0009779,PI(16:0/16:1(9Z)),C00626,0.746
HMDB0009781,,,0.473
HMDB0009782,,,1.78
HMDB0009783,,,1.78
HMDB0009784,,,2.64
HMDB0009785,,,0.269
HMDB0009786,,,4.29
HMDB0009787,,,1.17
HMDB0009788,,,1.17
HMDB0009789,,,1.27
HMDB0009790,,,1.27
HMDB0009791,"PI(16:0/22:2(13Z,16Z))",C00626,0.189
HMDB0009792,,,1.83
HMDB0009793,,,11
HMDB0009794,,,11
HMDB0009795,,,1.28
HMDB0009796,,,1.28
HMDB0009797,,,0.746
HMDB0009799,,,1.78
HMDB0009800,,,2.64
HMDB0009801,PI(16:1(9Z)/18:1(9Z)),C00626,2.64
HMDB0009803,,,2.64
HMDB0009804,"PI(16:2(9Z,12Z)/22:3(10Z,13Z,16Z))",C00626,1.28
HMDB0009805,,,0.473
HMDB0009806,,,1.78
HMDB0009807,,,2.64
HMDB0009808,,,0.269
HMDB0009809,"PI(18:0/18:2(9Z,12Z))",C00626,4.29
HMDB0009810,,,1.17
HMDB0009811,,,1.17
HMDB0009812,,,0.189
HMDB0009813,,,1.83
HMDB0009814,,,1.83
HMDB0009815,,,11
HMDB0009816,,,11
HMDB0009817,,,0.451
HMDB0009818,,,0.451
HMDB0009819,,,0.475
HMDB0009820,,,0.475
HMDB0009821,,,0.54
HMDB0009822,,,1.78
HMDB0009823,,,2.64
HMDB0009824,,,4.29
HMDB0009825,,,4.29
HMDB0009826,,,1.17
HMDB0009827,,,1.27
HMDB0009828,,,1.27
HMDB0009829,,,0.189
HMDB0009830,,,11
HMDB0009831,,,11
HMDB0009832,,,1.28
HMDB0009833,,,1.28
HMDB0009834,PI(18:1(9Z)/16:0),C00626,1.78
HMDB0009835,,,2.64
HMDB0009836,,,4.29
HMDB0009837,PI(18:1(9Z)/18:1(9Z)),C00626,4.29
HMDB0009838,,,1.17
HMDB0009839,,,1.27
HMDB0009840,,,1.27
HMDB0009841,,,0.189
HMDB0009842,,,11
HMDB0009843,"PI(18:1(9Z)/20:3(8Z,11Z,14Z))",C00626,11
HMDB0009844,,,1.28
HMDB0009845,,,1.28
HMDB0009846,,,2.64
HMDB0009847,,,4.29
HMDB0009848,,,1.17
HMDB0009849,,,1.17
HMDB0009850,,,1.27
HMDB0009851,,,0.189
HMDB0009852,,,1.83
HMDB0009853,,,11
HMDB0009854,,,1.28
HMDB0009855,,,1.28
HMDB0009856,,,0.451
HMDB0009857,,,0.475
HMDB0009858,,,1.17
HMDB0009859,,,1.27
HMDB0009860,,,1.27
HMDB0009861,,,0.54
HMDB0009862,,,1.17
HMDB0009863,,,1.27
HMDB0009864,,,1.27
HMDB0009865,,,0.54
HMDB0009866,,,0.269
HMDB0009867,,,0.189
HMDB0009868,,,0.217
HMDB0009869,,,0.451
HMDB0009870,,,0.189
HMDB0009871,PI(20:1(11Z)/18:1(9Z)),C00626,0.189
HMDB0009872,,,1.83
HMDB0009873,"PI(20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",C00626,0.475
HMDB0009874,"PI(20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",C00626,0.475
HMDB0009875,"PI(20:2(11Z,14Z)/16:0)",C00626,4.29
HMDB0009876,,,0.189
HMDB0009877,,,11
HMDB0009878,,,0.451
HMDB0009879,,,1.17
HMDB0009880,,,1.83
HMDB0009881,,,11
HMDB0009882,,,11
HMDB0009883,,,1.28
HMDB0009884,,,0.54
HMDB0009885,,,0.54
HMDB0009886,,,1.17
HMDB0009887,,,1.83
HMDB0009888,"PI(20:3(8Z,11Z,14Z)/18:1(11Z))",C00626,11
HMDB0009889,,,11
HMDB0009890,,,1.28
HMDB0009891,"PI(20:3(8Z,11Z,14Z)/20:3(5Z,8Z,11Z))",C00626,0.54
HMDB0009892,"PI(20:3(8Z,11Z,14Z)/20:3(8Z,11Z,14Z))",C00626,0.54
HMDB0009893,"PI(20:4(5Z,8Z,11Z,14Z)/16:0)",C00626,1.27
HMDB0009894,,,11
HMDB0009895,"PI(20:4(5Z,8Z,11Z,14Z)/18:1(11Z))",C00626,1.28
HMDB0009896,,,1.28
HMDB0009897,,,0.451
HMDB0009898,"PI(20:4(5Z,8Z,11Z,14Z)/20:1(11Z))",C00626,0.475
HMDB0009899,,,1.27
HMDB0009900,"PI(20:4(8Z,11Z,14Z,17Z)/18:0)",C00626,11
HMDB0009901,,,1.28
HMDB0009902,,,1.28
HMDB0009903,,,0.451
HMDB0009904,"PI(20:4(8Z,11Z,14Z,17Z)/20:1(11Z))",C00626,0.475
HMDB0009905,"PI(22:2(13Z,16Z)/16:0)",C00626,0.189
HMDB0009906,"PI(22:2(13Z,16Z)/18:2(9Z,12Z))",C00626,0.451
HMDB0009907,,,1.83
HMDB0009908,,,1.28
HMDB0009909,"PI(22:3(10Z,13Z,16Z)/18:2(9Z,12Z))",C00626,0.475
HMDB0009910,,,0.54
HMDB0009911,"PI(22:3(10Z,13Z,16Z)/18:3(9Z,12Z,15Z))",C00626,0.54
HMDB0009912,,,11
HMDB0009913,,,0.451
HMDB0009914,,,11
HMDB0009915,,,0.451
HMDB0009916,"PI(22:5(4Z,7Z,10Z,13Z,16Z)/16:0)",C00626,1.28
HMDB0009917,,,0.475
HMDB0009918,"PI(22:5(7Z,10Z,13Z,16Z,19Z)/16:0)",C00626,1.28
HMDB0009919,,,0.475
HMDB0009920,,,0.54
HMDB0010163,PS(18:0/18:1(9Z)),C02737,0.733
HMDB0010165,"PS(18:0/20:4(8Z,11Z,14Z,17Z))",C02737,0.481
HMDB0010166,"PS(18:0/22:5(7Z,10Z,13Z,16Z,19Z))",C02737,0.114
HMDB0010167,"PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C02737,0.637
HMDB0010168,,,16.7
HMDB0010169,,,190
HMDB0010199,11b-PGF2a,C05959,0.00021
HMDB0010200,,,0.00042
HMDB0010201,,,0.0002
HMDB0010202,,,0.00052
HMDB0010203,,,0.00049
HMDB0010204,,,0.00196
HMDB0010205,,,0.00012
HMDB0010206,,,0.00327
HMDB0010207,L-Rhamnulose,C00861,0.00044
HMDB0010208,,,0.0145
HMDB0010209,,,0.0002
HMDB0010210,15-KETE,C04577,0.00007
HMDB0010211,,,0.0144
HMDB0010212,"17,18-EpETE",C13843,0.00011
HMDB0010213,,,0.00019
HMDB0010214,,,0.00123
HMDB0010216,,,0.00053
HMDB0010217,5-KETE,C14732,0.00014
HMDB0010219,,,0.0001
HMDB0010220,,,0.00208
HMDB0010221,,,0.00236
HMDB0010222,,,0.0017
HMDB0010224,,,0.00198
HMDB0010316,,,30.2
HMDB0010318,Pregnanediol 3-O-glucuronide,C03033,1.5
HMDB0010319,,,4.07
HMDB0010325,,,2.9
HMDB0010335,,,0.017
HMDB0010340,,,0.0068
HMDB0010343,,,13
HMDB0010345,,,0.0008
HMDB0010367,,,4.19
HMDB0010368,CE(18:0),C02530,37.5
HMDB0010369,,,23.66
HMDB0010370,"CE(18:3(9Z,12Z,15Z))",C02530,23.6
HMDB0010371,,,2.47
HMDB0010372,,,1.86
HMDB0010373,,,32
HMDB0010374,,,3.28
HMDB0010376,,,0.92
HMDB0010378,,,0.095
HMDB0010379,,,2.02
HMDB0010380,LysoPC(14:1(9Z)/0:0),C04230,0.211
HMDB0010381,LysoPC(15:0/0:0),C04230,1.764
HMDB0010382,LysoPC(16:0/0:0),C04230,141
HMDB0010383,LysoPC(16:1(9Z)/0:0),C04230,2.86
HMDB0010384,LysoPC(18:0/0:0),C04230,48.5
HMDB0010385,LysoPC(18:1(11Z)/0:0),C04230,31.5
HMDB0010386,,,30.33
HMDB0010387,"LysoPC(18:3(6Z,9Z,12Z)/0:0)",C04230,0.234
HMDB0010388,,,1.239
HMDB0010389,,,0.286
HMDB0010390,LysoPC(20:0/0:0),C04230,0.688
HMDB0010391,LysoPC(20:1(11Z)/0:0),C04230,0.526
HMDB0010392,"LysoPC(20:2(11Z,14Z)/0:0)",C04230,0.712
HMDB0010393,,,2.65
HMDB0010394,,,2.65
HMDB0010395,"LysoPC(20:4(5Z,8Z,11Z,14Z)/0:0)",C04230,6.13
HMDB0010396,"LysoPC(20:4(8Z,11Z,14Z,17Z)/0:0)",C04230,6.13
HMDB0010397,"LysoPC(20:5(5Z,8Z,11Z,14Z,17Z)/0:0)",C04230,1.608
HMDB0010398,LysoPC(22:0/0:0),C04230,0.43
HMDB0010399,LysoPC(22:1(13Z)/0:0),C04230,0.569
HMDB0010400,"LysoPC(22:2(13Z,16Z)/0:0)",C04230,0.095
HMDB0010401,"LysoPC(22:4(7Z,10Z,13Z,16Z)/0:0)",C04230,0.064
HMDB0010402,"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z)/0:0)",C04230,0.107
HMDB0010403,"LysoPC(22:5(7Z,10Z,13Z,16Z,19Z)/0:0)",C04230,0.743
HMDB0010404,"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",C04230,2.78
HMDB0010405,LysoPC(24:0/0:0),C04230,0.38
HMDB0010406,LysoPC(24:1(15Z)/0:0),C04230,0.728
HMDB0010407,,,0.928
HMDB0010408,LysoPC(P-18:1(9Z)/0:0),C04230,0.13
HMDB0010410,,,0.001
HMDB0010414,,,27
HMDB0010415,,,20.2
HMDB0010416,,,63.6
HMDB0010417,,,57.1
HMDB0010418,,,36.5
HMDB0010420,,,20.2
HMDB0010421,,,20.2
HMDB0010423,,,79.8
HMDB0010424,,,18.9
HMDB0010425,,,139.5
HMDB0010426,,,27
HMDB0010427,,,11.6
HMDB0010428,,,63.6
HMDB0010429,,,63.6
HMDB0010430,,,79.8
HMDB0010431,,,29.6
HMDB0010432,,,214.8
HMDB0010434,,,79.8
HMDB0010435,,,79.8
HMDB0010436,,,57.1
HMDB0010437,,,139.5
HMDB0010438,,,139.5
HMDB0010439,,,214.8
HMDB0010440,,,90.9
HMDB0010441,,,53.6
HMDB0010442,,,214.8
HMDB0010443,,,214.8
HMDB0010444,,,90.9
HMDB0010445,,,21.5
HMDB0010446,,,21.5
HMDB0010447,,,69.1
HMDB0010448,,,79.8
HMDB0010449,,,57.1
HMDB0010450,,,32
HMDB0010451,,,90.9
HMDB0010452,,,69.1
HMDB0010453,,,36.5
HMDB0010454,,,23.5
HMDB0010456,,,68.5
HMDB0010457,,,69.1
HMDB0010458,,,68.5
HMDB0010459,,,53.6
HMDB0010460,,,53.6
HMDB0010470,,,18.9
HMDB0010473,,,32
HMDB0010474,,,68.5
HMDB0010477,,,53.6
HMDB0010479,,,53.6
HMDB0010481,,,36.5
HMDB0010482,,,36.5
HMDB0010485,,,23.5
HMDB0010491,,,23.5
HMDB0010501,,,36.5
HMDB0010573,,,0.604
HMDB0010574,,,0.604
HMDB0010575,,,0.08
HMDB0010578,,,0.338
HMDB0010579,,,0.338
HMDB0010580,,,0.217
HMDB0010581,,,0.191
HMDB0010582,,,0.605
HMDB0010583,,,0.605
HMDB0010584,,,0.919
HMDB0010587,,,0.604
HMDB0010588,,,0.08
HMDB0010589,,,0.08
HMDB0010593,,,0.217
HMDB0010594,,,0.217
HMDB0010595,,,0.351
HMDB0010596,,,0.605
HMDB0010597,,,0.919
HMDB0010598,,,0.919
HMDB0010601,,,0.604
HMDB0010603,,,1.59
HMDB0010604,,,1.59
HMDB0010605,,,0.194
HMDB0010606,,,0.338
HMDB0010607,,,0.338
HMDB0010610,,,0.191
HMDB0010611,,,0.323
HMDB0010612,,,0.159
HMDB0010613,,,0.159
HMDB0010614,,,0.145
HMDB0010615,,,0.604
HMDB0010616,,,0.08
HMDB0010617,,,1.59
HMDB0010618,,,0.194
HMDB0010619,,,0.194
HMDB0010620,,,0.338
HMDB0010621,,,0.217
HMDB0010622,,,0.217
HMDB0010623,,,0.191
HMDB0010624,,,0.191
HMDB0010625,,,0.605
HMDB0010626,,,0.159
HMDB0010627,,,0.145
HMDB0010628,,,0.145
HMDB0010629,,,0.181
HMDB0010630,,,0.604
HMDB0010631,,,0.08
HMDB0010632,,,1.59
HMDB0010633,,,0.194
HMDB0010634,,,0.194
HMDB0010635,,,0.338
HMDB0010636,,,0.217
HMDB0010637,,,0.217
HMDB0010638,,,0.191
HMDB0010639,,,0.191
HMDB0010640,,,0.605
HMDB0010641,,,0.159
HMDB0010642,,,0.145
HMDB0010643,,,0.145
HMDB0010644,,,0.181
HMDB0010645,,,0.08
HMDB0010647,,,0.194
HMDB0010648,,,0.338
HMDB0010649,,,0.338
HMDB0010650,,,0.217
HMDB0010651,,,0.351
HMDB0010652,,,0.351
HMDB0010653,,,0.605
HMDB0010654,,,0.605
HMDB0010655,,,0.919
HMDB0010656,,,0.145
HMDB0010657,,,0.181
HMDB0010658,,,0.181
HMDB0010659,,,0.105
HMDB0010662,,,0.338
HMDB0010663,,,0.217
HMDB0010664,,,0.217
HMDB0010665,,,0.351
HMDB0010668,,,0.919
HMDB0010669,,,0.919
HMDB0010671,,,0.181
HMDB0010672,,,0.105
HMDB0010673,,,0.105
HMDB0010674,,,0.116
HMDB0010677,,,0.338
HMDB0010678,,,0.217
HMDB0010679,,,0.217
HMDB0010680,,,0.351
HMDB0010683,,,0.919
HMDB0010684,,,0.919
HMDB0010686,,,0.181
HMDB0010687,,,0.105
HMDB0010688,,,0.105
HMDB0010689,,,0.116
HMDB0010738,1-Methylxanthine,C16358,
HMDB0011103,"1,7-Dimethyluric acid",C16356,
HMDB0011107,7-Methyluric acid,C16355,
HMDB0011119,,,0.0013
HMDB0011130,,,
HMDB0011131,,,
HMDB0011134,5-HETE,C04805,0.0119
HMDB0011151,,,12.7
HMDB0011152,,,
HMDB0011170,,,
HMDB0011171,,,
HMDB0011175,,,0.03
HMDB0011178,,,
HMDB0011179,,,
HMDB0011181,Brassicasterol,C08813,0.57
HMDB0011185,O-Phosphothreonine,C12147,0.036
HMDB0011201,,,2.59
HMDB0011202,,,0.36
HMDB0011203,,,2.99
HMDB0011206,,,13.6
HMDB0011207,,,16.6
HMDB0011209,,,173
HMDB0011210,,,173
HMDB0011211,,,315
HMDB0011212,,,2.8
HMDB0011213,,,2.8
HMDB0011214,,,2.8
HMDB0011215,,,1.55
HMDB0011216,,,19.8
HMDB0011217,,,44.5
HMDB0011218,,,63.7
HMDB0011219,,,63.7
HMDB0011221,,,135
