mid,mname,keggid,nc
HMDB0000564,PC(16:0/16:0),C00157,584.557
HMDB0000565,Galactonic acid,C00880,2
HMDB0000567,Cinnamic acid,C10438,0.168
HMDB0000568,D-Arabitol,C01904,3
HMDB0000569,,,0.0007
HMDB0000570,Coproporphyrin III,C05770,0.006
HMDB0000572,,,0.0003
HMDB0000573,Elaidic acid,C01712,100
HMDB0000574,L-Cysteine,C00097,100
HMDB0000575,DL-Homocystine,C01817,9.8
HMDB0000577,,,
HMDB0000580,Chondroitin sulfate,C00607,9.58
HMDB0000582,,,0.00002
HMDB0000585,,,2.26
HMDB0000586,Potassium,C00238,5000
HMDB0000588,Sodium,C01330,144000
HMDB0000590,,,0.0565
HMDB0000593,,,44.5
HMDB0000594,,,
HMDB0000595,Hydrogen carbonate,C01353,24900
HMDB0000598,Sulfide,C00087,0.003
HMDB0000599,Chromium,C19368,0.0035
HMDB0000600,Galactosylhydroxylysine,C05547,0.061
HMDB0000601,,,0.1
HMDB0000603,,,0
HMDB0000606,D-2-Hydroxyglutaric acid,C01087,0.93
HMDB0000607,Cyanocobalamin,C02823,0.00012
HMDB0000608,Cobalt,C00175,0.0031
HMDB0000610,"CE(18:2(9Z,12Z))",C15441,1506.38
HMDB0000613,,,2
HMDB0000617,2-Furoic acid,C01546,5
HMDB0000618,D-Ribulose 5-phosphate,C00199,1.86
HMDB0000619,Cholic acid,C00695,32060
HMDB0000620,Glutaconic acid,C02214,1
HMDB0000621,D-Ribulose,C00309,
HMDB0000622,,,0.84
HMDB0000623,Dodecanedioic acid,C02678,219.7
HMDB0000625,Gluconic acid,C00257,3
HMDB0000626,Deoxycholic acid,C04483,11720
HMDB0000630,Cytosine,C00380,6.4
HMDB0000631,Deoxycholic acid glycine conjugate,C05464 ,0.01
HMDB0000634,Citraconic acid,C02226,0.84
HMDB0000635,,,0.003
HMDB0000637,Chenodeoxycholic acid glycine conjugate,C05466,0.01
HMDB0000638,Dodecanoic acid,C02679,12
HMDB0000639,Galactaric acid,C00879,0.172
HMDB0000640,,,52.785
HMDB0000641,L-Glutamine,C00064,580
HMDB0000643,Coproporphyrin I,C05769,0.0073
HMDB0000645,Galactose 1-phosphate,C00446,31
HMDB0000646,L-Arabinose,C02479,2.5
HMDB0000650,D-alpha-Aminobutyric acid,C02261,
HMDB0000651,Decanoylcarnitine,C03299,0.26
HMDB0000653,Cholesterol sulfate,C18043,5.4
HMDB0000656,,,0.227
HMDB0000657,Copper,C00070,14.71645
HMDB0000658,,,118.74
HMDB0000660,D-Fructose,C02336,31
HMDB0000661,Glutaric acid,C00489,0.8
HMDB0000662,Fluoride,C00742,4.74
HMDB0000663,Glucaric acid,C00818,8.4
HMDB0000665,,,
HMDB0000666,Heptanoic acid,C17714,
HMDB0000667,,,0.29
HMDB0000669,ortho-Hydroxyphenylacetic acid,C05852,0.287
HMDB0000670,Homo-L-arginine,C01924,2
HMDB0000671,Indolelactic acid,C02043,2.8
HMDB0000672,Hexadecanedioic acid,C19615,
HMDB0000673,Linoleic acid,C01595,23.39
HMDB0000674,PA(16:0/16:0),C00416,0.186
HMDB0000675,Iodine,C01382,0.41
HMDB0000676,L-Homocystine,C01817,2
HMDB0000678,,,0.17
HMDB0000679,Homocitrulline,C02427,5
HMDB0000682,,,14
HMDB0000684,L-Kynurenine,C00328,1.6
HMDB0000687,L-Leucine,C00123,70
HMDB0000688,,,0.4
HMDB0000689,,,
HMDB0000691,Malonic acid,C04025,15
HMDB0000692,Fe2+,C14818,9766
HMDB0000693,Heparan sulfate,C00925,0.5
HMDB0000694,L-2-Hydroxyglutaric acid,C03196,1.5
HMDB0000695,Ketoleucine,C00233,28
HMDB0000696,L-Methionine,C00073,25
HMDB0000698,Lithocholic acid glycine conjugate,C15557,620
HMDB0000699,1-Methylnicotinamide,C02918,0.43
HMDB0000700,Hydroxypropionic acid,C01013,7
HMDB0000701,,,
HMDB0000703,Mandelic acid,C01984,0.565
HMDB0000706,,,0.018
HMDB0000707,4-Hydroxyphenylpyruvic acid,C01179,0.37
HMDB0000708,,,0.1
HMDB0000709,,,13.6
HMDB0000710,4-Hydroxybutyric acid,C01991,1.2
HMDB0000711,,,
HMDB0000712,,,
HMDB0000714,Hippuric acid,C01586,3
HMDB0000715,Kynurenic acid,C01717,0.023
HMDB0000716,L-Pipecolic acid,C00408,10
HMDB0000718,Isovaleric acid,C08262,1.6
HMDB0000719,L-Homoserine,C00263,12
HMDB0000720,,,
HMDB0000721,,,
HMDB0000722,Lithocholyltaurine,C02592,370
HMDB0000725,4-Hydroxyproline,C01157,
HMDB0000729,,,8.2
HMDB0000731,Cysteine-S-sulfate,C05824,3.2
HMDB0000732,Hydroxykynurenine,C02794,0.05
HMDB0000736,,,0.069
HMDB0000739,,,0.00029
HMDB0000740,Lactulose,C07064,0.12
HMDB0000742,Homocysteine,C00155,9.4
HMDB0000744,,,
HMDB0000745,Homocarnosine,C00884,2.7
HMDB0000746,,,0.7
HMDB0000748,L-3-Phenyllactic acid,C05607,
HMDB0000750,,,10.527
HMDB0000751,L-Xylulose,C00312,9
HMDB0000752,,,
HMDB0000754,,,4
HMDB0000755,Hydroxyphenyllactic acid,C03672,0.64
HMDB0000756,,,0.08
HMDB0000757,Glycogen,C00182,39.1
HMDB0000759,Glycylleucine,C02155,
HMDB0000760,,,
HMDB0000761,Lithocholic acid,C03990,930
HMDB0000763,5-Hydroxyindoleacetic acid,C05635,0.0516
HMDB0000764,Hydrocinnamic acid,C05629,0.553
HMDB0000765,Mannitol,C00392,7.143
HMDB0000766,,,
HMDB0000767,Pseudouridine,C02067,1.29
HMDB0000772,Nonadecanoic acid,C16535,
HMDB0000774,,,0.13
HMDB0000779,Phenyllactic acid,C01479,
HMDB0000782,,,
HMDB0000784,Azelaic acid,C08261,27
HMDB0000786,Oxypurinol,C07599,50
HMDB0000788,Orotidine,C01103,4.167
HMDB0000791,Octanoylcarnitine,C02838,0.23
HMDB0000792,Sebacic acid,C08277,0.091
HMDB0000795,,,3
HMDB0000797,SAICAR,C04823,0
HMDB0000801,Phytanic acid,C01607,4.8
HMDB0000802,Pterin,C00715,
HMDB0000806,Myristic acid,C06424,25
HMDB0000807,3-Phosphoglyceric acid,C00597,58.2
HMDB0000808,,,
HMDB0000812,N-Acetyl-L-aspartic acid,C01042,0.81
HMDB0000819,Normetanephrine,C05589,0.00035
HMDB0000820,Propyl alcohol,C05979,0.33
HMDB0000821,Phenylacetylglycine,C05598,19.55
HMDB0000822,p-Hydroxymandelic acid,C11527,1.844
HMDB0000824,Propionylcarnitine,C03017,0.31
HMDB0000825,,,144
HMDB0000826,Pentadecanoic acid,C16537,1.34
HMDB0000827,Stearic acid,C01530,85
HMDB0000828,Ureidosuccinic acid,C00438,
HMDB0000830,Neuraminic acid,C06469,0.57
HMDB0000832,,,0.0181
HMDB0000840,Salicyluric acid,C07588,1
HMDB0000845,,,0.006
HMDB0000847,Pelargonic acid,C01601,
HMDB0000848,,,0.04
HMDB0000849,Rhamnose,C00507,
HMDB0000851,,,0.033
HMDB0000852,beta-Sitosterol,C01753,22.8
HMDB0000853,N-Acetyl-b-D-galactosamine,C05021,
HMDB0000854,Formiminoglutamic acid,C00439,17.6
HMDB0000857,Pimelic acid,C02656,0.21
HMDB0000858,,,2.3
HMDB0000860,,,0.0333
HMDB0000863,Isopropyl alcohol,C01845,83.3
HMDB0000866,N-Acetyl-L-tyrosine,C01657,
HMDB0000868,Xylulose 5-phosphate,C00231,0.43
HMDB0000870,Histamine,C00388,0.00067
HMDB0000872,,,0.11
HMDB0000873,4-Methylcatechol,C06730,
HMDB0000874,,,2
HMDB0000875,Trigonelline,C01004,
HMDB0000876,Vitamin D3,C05443,0.006
HMDB0000878,Ergosterol,C01694,0.00933
HMDB0000879,Tetrahydrodeoxycorticosterone,C13713,0.0052
HMDB0000881,Xanthurenic acid,C02470,0.022
HMDB0000883,L-Valine,C00183,212.3
HMDB0000884,,,0.2
HMDB0000885,CE(16:0),C11251,405.46
HMDB0000888,,,0.44
HMDB0000892,Valeric acid,C00803,0.6
HMDB0000893,Suberic acid,C08278,3.6
HMDB0000895,Acetylcholine,C01996,0.034
HMDB0000896,Taurodeoxycholic acid,C05463,0.01
HMDB0000897,7-Methylguanine,C02242,0.129
HMDB0000898,1-Methylhistamine,C05127,0.00034
HMDB0000899,Androstanedione,C00674,0.00036
HMDB0000900,Ergocalciferol,C05441,0.003
HMDB0000902,NAD,C00003,24.3
HMDB0000903,,,0.4
HMDB0000904,Citrulline,C00327,35
HMDB0000906,Trimethylamine,C00565,0.42
HMDB0000907,,,1.6
HMDB0000908,,,9.26
HMDB0000912,,,17.3
HMDB0000913,,,1.015
HMDB0000918,CE(18:1(9Z)),C14641,704.47
HMDB0000921,Cholestenone,C00599,0.079
HMDB0000925,Trimethylamine N-oxide,C01104,38.81
HMDB0000927,,,0.1119
HMDB0000929,L-Tryptophan,C00078,54.5
HMDB0000930,trans-Cinnamic acid,C10438,0.869
HMDB0000933,Traumatic acid,C16308,
HMDB0000936,Uroporphyrin I,C05767,0.0006
HMDB0000937,Stigmasterol,C05442,11.15
HMDB0000939,S-Adenosylhomocysteine,C00021,0.46
HMDB0000943,Threonic acid,C01620,
HMDB0000944,Behenic acid,C08281,0.16
HMDB0000946,Ursodeoxycholic acid,C07880,0.16
HMDB0000947,Undecanoic acid,C17715,
HMDB0000949,Tetrahydrocortisol,C05465,0.19
HMDB0000950,,,0.281
HMDB0000951,Taurochenodesoxycholic acid,C05465,0.01
HMDB0000953,,,0.0379
HMDB0000954,Ferulic acid,C01494,0.053
HMDB0000955,Isoferulic acid,C10470,0.128
HMDB0000956,Tartaric acid,C00898,
HMDB0000957,Pyrocatechol,C15571,0.665
HMDB0000958,trans-Aconitic acid,C02341,23.287
HMDB0000959,,,1.9
HMDB0000961,Farnesyl pyrophosphate,C00448,0.0086
HMDB0000962,Lipoamide,C00248,0.153
HMDB0000965,Hypotaurine,C00519,0.842
HMDB0000975,Trehalose,C01083,5.298
HMDB0000982,,,2.2
HMDB0000990,Acetaldehyde,C00084,1
HMDB0000991,,,
HMDB0000996,3-Sulfinoalanine,C00606,1.38
HMDB0000998,dCTP,C00458,29
HMDB0001000,dUDP,C01346,0.5
HMDB0001008,Biliverdin,C00500,
HMDB0001015,N-Formyl-L-methionine,C03145,
HMDB0001032,Dehydroepiandrosterone sulfate,C04555,3.47
HMDB0001035,Angiotensin II,C02135,0.00005
HMDB0001043,Arachidonic acid,C00219,2.94
